Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s22_e148_RES7146 & s22_e148_RES11320,A,610,3.38,18,117.5,150,18,4.8,s22_e148_RES7146,740,-21.0861,148.4961,258,119.4,97.5,1969,15.9,7.5,s22_e148_RES11320,130,-21.1378,148.5675,561,117.5,52.0,1899,8.61,13.7,819,183
s22_e148_RES23069 & s22_e148_RES22298,A,429,6.5,7,166.7,150,18,16.6,s22_e148_RES23069,680,-21.3147,148.5703,760,166.7,63.9,1546,6.6,25.3,s22_e148_RES22298,251,-21.3064,148.6736,723,168.5,70.5,1032,3.48,48.4,1483,101
s22_e148_RES28641 & s22_e148_RES23478,A,469,4.74,10,153.8,150,18,7.2,s22_e148_RES28641,540,-21.3792,148.7283,575,153.8,71.7,5742,18.62,8.3,s22_e148_RES23478,71,-21.3197,148.8342,1268,161.2,30.2,3553,2.81,57.4,1843,81
s20_e146_RES17441 & s20_e146_RES17857,A,460,6.1,8,154.0,150,18,19.5,s20_e146_RES17441,530,-19.4747,146.5119,1826,156.8,25.2,2742,2.14,73.2,s20_e146_RES17857,70,-19.4856,146.6478,1153,154.0,34.0,6037,5.8,26.5,2979,50
s42_e147_RES30786 & s42_e147_RES15925,A,398,7.34,5,185.4,150,18,61.7,s42_e147_RES30786,570,-41.3178,147.4628,1247,187.9,33.2,2224,1.86,101.2,s42_e147_RES15925,172,-41.2178,147.5203,1226,185.4,28.1,1652,1.17,158.2,2473,60
s36_e149_RES39827 & s36_e149_RES49690,A,620,6.23,10,115.4,150,18,10.6,s36_e149_RES39827,760,-35.6211,149.7183,473,115.4,46.8,6802,7.62,15.1,s36_e149_RES49690,140,-35.7194,149.81,577,115.9,47.0,847,3.25,35.6,1050,142
s36_e149_RES35037 & s36_e149_RES40768,A,540,3.69,15,132.8,150,18,5.9,s36_e149_RES35037,710,-35.5756,149.6967,726,132.8,41.6,3195,4.15,32.0,s36_e149_RES40768,170,-35.6283,149.7925,447,133.4,57.8,2875,18.6,7.2,1173,127
s37_e148_RES3754 & s37_e149_RES16773,A,330,4.46,7,216.8,150,18,15.2,s37_e148_RES3754,1100,-36.0828,148.9314,1045,216.8,68.0,7640,12.15,17.8,s37_e149_RES16773,770,-36.1703,149.0297,925,219.1,54.9,893,2.13,102.8,1970,76
s35_e150_RES32051 & s35_e150_RES32848,A,662,4.76,14,108.7,150,18,6.6,s35_e150_RES32051,682,-34.5597,150.6022,414,112.1,57.1,5150,11.1,10.1,s35_e150_RES32848,20,-34.5758,150.7403,529,108.7,45.1,1569,5.62,19.3,943,159
s37_e149_RES41200 & s37_e149_RES44455,A,791,7.02,11,92.3,150,18,6.8,s37_e149_RES41200,991,-36.5708,149.4364,349,92.5,73.2,2090,9.77,9.5,s37_e149_RES44455,200,-36.6119,149.5417,564,92.3,40.4,2931,3.83,24.1,913,164
s37_e149_RES61332 & s37_e149_RES55490,A,660,10.68,6,108.9,150,18,14.5,s37_e149_RES61332,800,-36.8397,149.4475,529,109.3,35.7,1519,3.61,30.3,s37_e149_RES55490,140,-36.7489,149.645,784,108.9,38.4,2873,3.91,27.9,1313,114
s37_e149_RES46548 & s37_e149_RES47170,A,671,5.63,12,105.8,150,18,5.0,s37_e149_RES46548,881,-36.6364,149.4514,336,108.1,80.7,2862,14.93,7.2,s37_e149_RES47170,210,-36.6431,149.5492,586,105.8,52.8,3844,6.62,16.0,922,162
s37_e149_RES36866 & s37_e149_RES42125,A,800,9.39,9,90.1,150,18,3.9,s37_e149_RES36866,1050,-36.4914,149.4314,459,90.1,46.2,2605,6.51,13.8,s37_e149_RES42125,250,-36.5842,149.5706,322,91.2,88.7,1955,16.68,5.5,781,192
s43_e147_RES13534 & s43_e147_RES11410,A,530,8.15,7,136.1,150,18,24.7,s43_e147_RES13534,740,-42.1667,147.2503,556,140.1,44.5,2751,4.09,34.2,s43_e147_RES11410,210,-42.1403,147.4125,1872,136.1,19.4,1902,1.53,88.8,2428,61
s43_e147_RES930 & s42_e147_RES99068,A,601,10.74,6,115.9,150,18,14.2,s43_e147_RES930,821,-42.0122,147.1417,473,119.7,53.2,3761,7.61,15.7,s42_e147_RES99068,220,-41.9692,147.2761,2102,115.9,16.9,1244,0.81,142.2,2575,58
s29_e152_RES71847 & s29_e152_RES73560,A,519,2.84,18,133.8,150,18,16.3,s29_e152_RES71847,900,-28.7067,152.1286,1179,133.8,34.6,2663,3.74,35.8,s29_e152_RES73560,381,-28.7236,152.1867,509,139.7,87.4,556,4.65,30.1,1688,88
s29_e152_RES67203 & s29_e152_RES68331,A,611,6.3,10,117.7,150,18,16.4,s29_e152_RES67203,881,-28.6642,152.1378,746,117.7,36.4,9400,3.24,36.3,s29_e152_RES68331,270,-28.6728,152.2478,483,118.5,57.5,1615,3.96,30.0,1229,122
s29_e152_RES64972 & s29_e152_RES66043,A,592,7.14,8,122.6,150,18,14.1,s29_e152_RES64972,812,-28.6439,152.1739,509,122.6,53.5,2249,6.52,18.8,s29_e152_RES66043,220,-28.6542,152.3392,802,125.7,40.8,773,2.24,56.1,1311,114
s29_e152_RES63798 & s29_e152_RES61954,A,591,11.22,5,121.4,150,18,12.7,s29_e152_RES63798,861,-28.6328,152.1239,854,121.6,43.1,6545,6.76,18.0,s29_e152_RES61954,270,-28.6169,152.2592,604,121.4,56.9,1445,2.82,43.1,1458,102
s31_e150_RES79360 & s31_e150_RES79767,A,383,3.15,12,187.2,150,18,10.0,s31_e150_RES79360,773,-30.8825,150.9531,673,188.5,96.1,649,8.35,22.6,s31_e150_RES79767,390,-30.8889,150.8719,849,187.2,52.0,2131,10.45,17.9,1522,98
s21_e148_RES31291 & s21_e148_RES29039,A,572,3.06,19,125.1,150,18,9.8,s21_e148_RES31291,642,-20.7542,148.44,612,125.1,56.1,2212,7.4,16.9,s21_e148_RES29039,70,-20.7247,148.5081,879,125.1,32.7,4981,5.34,23.4,1491,100
s38_e145_RES47941 & s38_e145_RES49950,A,793,10.52,8,91.3,150,18,5.5,s38_e145_RES47941,1063,-37.4189,145.8461,300,93.5,65.4,3906,7.44,12.6,s38_e145_RES49950,270,-37.4322,145.7097,405,91.3,52.3,1889,9.48,9.6,705,212
s38_e145_RES41982 & s38_e145_RES29681,A,751,12.81,6,95.3,150,18,7.4,s38_e145_RES41982,961,-37.3756,145.8847,323,99.0,68.6,1884,6.11,16.2,s38_e145_RES29681,210,-37.2975,145.7403,495,95.3,46.2,2939,6.93,13.8,818,183
s38_e145_RES63134 & s38_e145_RES74635,A,560,10.4,5,128.2,150,18,10.7,s38_e145_RES63134,640,-37.5231,145.5653,492,133.0,61.8,1550,5.12,26.0,s38_e145_RES74635,80,-37.6586,145.4664,444,128.2,62.2,2175,7.05,18.2,936,160
s38_e145_RES40521 & s38_e145_RES21867,A,670,12.37,5,109.8,150,18,9.1,s38_e145_RES40521,902,-37.3658,145.9183,291,109.8,92.0,1144,11.87,9.3,s38_e145_RES21867,232,-37.2278,145.9292,8627,1073.2,44.4,524,1.48,724.3,8918,16
s38_e147_RES31068 & s38_e147_RES16636,A,730,10.01,7,98.8,150,18,15.7,s38_e147_RES31068,1130,-37.2008,147.9478,331,98.8,73.2,1238,4.91,20.1,s38_e147_RES16636,400,-37.1228,147.7969,525,99.8,51.2,376,1.41,70.8,856,175
s38_e147_RES57642 & s38_e147_RES80930,A,621,7.24,9,116.4,150,18,8.9,s38_e147_RES57642,901,-37.3069,147.4642,381,116.4,73.6,1164,8.33,14.0,s38_e147_RES80930,280,-37.41,147.4069,479,116.5,63.8,634,4.82,24.2,860,174
s38_e147_RES25685 & s38_e147_RES24383,A,459,3.39,14,156.5,150,18,8.9,s38_e147_RES25685,1160,-37.1756,147.4844,448,157.0,85.6,1603,10.84,14.5,s38_e147_RES24383,701,-37.1681,147.5647,744,156.5,56.6,2238,6.7,23.4,1192,125
s38_e147_RES19613 & s38_e148_RES16842,A,747,9.45,8,97.7,150,18,4.7,s38_e147_RES19613,1170,-37.1422,147.9842,338,97.7,69.9,3218,12.82,7.6,s38_e148_RES16842,423,-37.2036,148.1114,346,98.1,78.2,827,7.95,12.3,684,219
s38_e147_RES24269 & s38_e147_RES66825,A,789,13.3,6,90.8,150,18,7.2,s38_e147_RES24269,1170,-37.1675,147.3717,403,90.8,64.3,1700,6.59,13.8,s38_e147_RES66825,381,-37.3464,147.3808,314,92.1,69.7,984,6.14,15.0,717,209
s38_e147_RES65868 & s38_e147_RES94527,A,789,11.98,7,92.0,150,18,5.3,s38_e147_RES65868,991,-37.3425,147.5239,283,92.0,80.7,1886,14.23,6.5,s38_e147_RES94527,202,-37.4781,147.3947,396,93.7,61.2,554,3.34,28.1,679,220
s22_e149_RES18923 & s22_e149_RES20200,A,429,5.18,8,166.0,150,18,9.4,s22_e149_RES18923,460,-21.9042,149.2675,613,168.3,58.9,6001,13.16,12.8,s22_e149_RES20200,31,-21.9258,149.3783,1173,166.0,34.1,2394,4.6,36.1,1786,83
s33_e149_RES56634 & s33_e149_RES47286,A,300,1.4,21,240.7,150,18,12.8,s33_e149_RES56634,740,-32.7658,149.4319,941,240.7,91.4,2742,12.0,20.1,s33_e149_RES47286,440,-32.6875,149.3914,788,244.6,79.9,835,6.93,35.3,1729,86
s33_e149_RES80587 & s34_e149_RES9639,A,328,4.95,7,217.8,150,18,19.7,s33_e149_RES80587,780,-32.9781,149.5258,915,217.8,74.6,1382,7.1,30.7,s34_e149_RES9639,452,-33.0633,149.4594,818,223.2,75.2,521,4.08,54.7,1733,86
s33_e149_RES58490 & s33_e149_RES52228,A,244,3.21,8,294.0,150,18,22.3,s33_e149_RES58490,760,-32.7853,149.6869,962,294.0,96.2,1222,11.47,25.6,s33_e149_RES52228,516,-32.7272,149.7742,2563,303.1,43.8,1667,1.74,173.8,3525,42
s32_e152_RES40014 & s32_e152_RES35494,A,368,2.14,17,198.8,150,18,19.6,s32_e152_RES40014,518,-31.6111,152.2925,942,201.9,41.0,844,2.21,91.4,s32_e152_RES35494,150,-31.5653,152.3422,581,198.8,80.4,808,7.95,25.0,1523,98
s32_e152_RES38793 & s32_e152_RES50682,A,562,7.95,7,127.6,150,18,9.5,s32_e152_RES38793,592,-31.5967,152.4244,382,127.6,72.6,7540,9.29,13.7,s32_e152_RES50682,30,-31.7492,152.4692,1194,131.0,25.0,3338,4.27,30.7,1576,95
s31_e152_RES7017 & s30_e152_RES72378,A,632,9.09,7,114.7,150,18,10.9,s31_e152_RES7017,1122,-30.0881,152.0414,817,114.7,31.8,7417,4.93,23.2,s30_e152_RES72378,490,-29.9844,152.1344,335,116.8,85.7,617,5.68,20.6,1152,130
s31_e152_RES27867 & s31_e152_RES33773,A,720,13.12,5,100.4,150,18,12.7,s31_e152_RES27867,750,-30.3667,152.7197,747,100.4,29.8,4902,4.89,20.6,s31_e152_RES33773,30,-30.4669,152.8517,596,102.9,42.2,959,3.11,33.1,1343,111
s31_e151_RES65669 & s31_e151_RES60143,A,657,4.83,14,110.5,150,18,12.0,s31_e151_RES65669,1011,-30.8303,151.7894,986,111.0,29.0,2282,1.79,61.9,s31_e151_RES60143,354,-30.7719,151.8794,259,110.5,98.5,698,7.43,14.9,1245,120
s31_e151_RES77238 & s31_e151_RES73528,A,800,3.86,21,89.8,150,18,3.7,s31_e151_RES77238,1090,-30.9553,151.8794,230,89.8,68.3,5659,15.34,5.9,s31_e151_RES73528,290,-30.9183,151.9586,239,90.3,92.8,750,9.14,9.9,469,319
s30_e151_RES11244 & s30_e151_RES14390,A,561,7.82,7,127.6,150,18,15.4,s30_e151_RES11244,1011,-29.1175,151.9158,508,129.5,70.2,2321,6.29,20.6,s30_e151_RES14390,450,-29.1456,151.7808,878,127.6,33.9,752,2.07,61.6,1386,108
s30_e151_RES3521 & s30_e151_RES4680,A,280,3.38,8,259.4,150,18,21.5,s30_e151_RES3521,690,-29.0431,151.7803,1434,259.4,41.6,3252,6.71,38.7,s30_e151_RES4680,410,-29.0547,151.7006,1425,262.0,39.6,1778,5.39,48.6,2859,52
s24_e150_RES25524 & s24_e150_RES20922,A,350,6.68,5,200.1,150,18,24.8,s24_e150_RES25524,370,-23.7786,150.5239,1096,204.8,52.4,2077,3.75,54.6,s24_e150_RES20922,20,-23.6931,150.6267,2450,200.1,17.8,12838,4.41,45.4,3546,42
s37_e147_RES26440 & s37_e147_RES21936,A,470,5.86,8,152.8,150,18,7.9,s37_e147_RES26440,720,-36.2281,147.4594,449,153.8,79.0,1262,11.58,13.3,s37_e147_RES21936,250,-36.19,147.3728,545,152.8,77.9,966,7.84,19.5,994,150
s37_e147_RES75661 & s37_e147_RES69201,A,653,3.76,17,110.9,150,18,3.9,s37_e147_RES75661,1183,-36.4922,147.8811,238,110.9,81.8,5762,18.85,5.9,s37_e147_RES69201,530,-36.4642,147.8314,296,111.2,93.2,862,9.3,12.0,534,280
s37_e147_RES31981 & s37_e147_RES35537,A,599,3.7,16,119.8,150,18,4.0,s37_e147_RES31981,860,-36.2606,147.4672,394,120.2,83.2,7425,21.13,5.7,s37_e147_RES35537,261,-36.2811,147.3925,416,119.8,61.8,1879,8.79,13.6,810,185
s38_e149_RES15270 & s38_e149_RES25728,A,590,9.85,6,122.9,150,18,7.9,s38_e149_RES15270,880,-37.2081,149.0336,347,122.9,81.4,2432,12.56,9.8,s38_e149_RES25728,290,-37.3317,149.1381,573,128.0,56.8,911,3.2,40.0,920,163
s19_e146_RES3681 & s19_e146_RES1974,A,640,10.81,6,111.6,150,18,9.9,s19_e146_RES3681,670,-18.9372,146.0353,569,111.6,52.6,1845,5.67,19.7,s19_e146_RES1974,30,-18.7903,146.1072,1242,112.1,20.8,9092,5.64,19.9,1811,82
s19_e146_RES3428 & s19_e145_RES21152,A,659,8.72,8,109.6,150,18,6.0,s19_e146_RES3428,720,-18.9133,146.0003,480,109.6,50.5,8983,14.98,7.3,s19_e145_RES21152,61,-18.7661,145.9478,961,110.6,30.2,1683,3.19,34.7,1441,104
s19_e145_RES29032 & s19_e145_RES21152,A,669,8.3,8,106.6,150,18,10.5,s19_e145_RES29032,730,-18.8978,145.9825,522,106.6,47.3,5540,7.03,15.2,s19_e145_RES21152,61,-18.7661,145.9478,961,109.3,30.0,1683,3.19,34.3,1483,101
s19_e145_RES27984 & s19_e145_RES18521,A,651,10.35,6,109.5,150,18,9.3,s19_e145_RES27984,691,-18.8764,145.9006,473,109.5,53.9,2561,6.74,16.2,s19_e145_RES18521,40,-18.7117,145.9622,1388,113.7,20.5,13006,5.21,21.8,1861,80
s19_e145_RES30086 & s19_e146_RES1974,A,680,10.49,6,104.5,150,18,6.5,s19_e145_RES30086,710,-18.9194,145.9919,604,104.5,47.5,8544,10.81,9.7,s19_e146_RES1974,30,-18.7903,146.1072,1242,107.2,20.5,9092,5.35,20.0,1846,81
s19_e145_RES27711 & s19_e145_RES23550,A,650,5.33,12,109.5,150,18,4.0,s19_e145_RES27711,750,-18.8711,145.9356,428,110.3,54.7,10445,13.34,8.3,s19_e145_RES23550,100,-18.8083,145.9903,524,109.5,47.3,4117,14.34,7.6,952,157
s38_e148_RES13168 & s38_e148_RES17669,A,681,4.89,14,106.4,150,18,4.1,s38_e148_RES13168,1091,-37.1672,148.0433,277,106.7,73.1,3519,16.73,6.4,s38_e148_RES17669,410,-37.2133,148.1242,381,106.4,74.1,1768,9.49,11.2,658,227
