Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio,Combined water area (ha),Energy storage MWh per ha
s22_e148_RES6799 & s22_e148_RES11495,A,699,4.45,16,10.5,15,18,14.2,s22_e148_RES6799,860,-21.0822,148.5194,171,10.8,16.9,235,0.16,66.6,s22_e148_RES11495,161,-21.1422,148.5431,106,10.5,19.5,619,0.58,18.0,277,54
s22_e148_RES9448 & s22_e148_RES11320,A,722,4.43,16,9.9,15,18,8.7,s22_e148_RES9448,852,-21.1119,148.5061,125,9.9,20.2,632,0.26,38.0,s22_e148_RES11320,130,-21.1378,148.5675,129,10.2,20.1,1142,0.9,11.3,254,59
s22_e148_RES3221 & s22_e148_RES7716,A,800,6.21,13,9.0,15,18,8.5,s22_e148_RES3221,920,-21.045,148.5717,83,9.3,22.6,854,0.39,23.6,s22_e148_RES7716,120,-21.0911,148.6353,97,9.0,18.1,1088,0.68,13.3,180,83
s22_e148_RES5478 & s22_e148_RES10309,A,769,4.06,19,9.0,15,18,5.4,s22_e148_RES5478,910,-21.0697,148.5506,67,9.6,23.2,726,0.51,18.8,s22_e148_RES10309,141,-21.1222,148.5758,72,9.0,24.4,1021,1.19,7.5,139,107
s22_e148_RES28386 & s22_e148_RES24170,A,473,5.62,8,14.8,15,18,13.6,s22_e148_RES28386,553,-21.3753,148.7236,137,15.1,30.9,1079,0.83,18.3,s22_e148_RES24170,80,-21.3278,148.7844,202,14.8,12.0,755,0.28,53.2,339,44
s22_e148_RES14430 & s22_e148_RES11468,A,691,9.87,7,10.3,15,18,10.0,s22_e148_RES14430,791,-21.2039,148.5239,123,10.3,25.1,605,0.41,25.1,s22_e148_RES11468,100,-21.1417,148.6272,204,10.5,10.6,1742,0.63,16.5,327,45
s22_e148_RES6627 & s22_e148_RES1024,A,649,6.84,9,10.8,15,18,6.4,s22_e148_RES6627,940,-21.0803,148.4686,84,10.8,35.1,2393,1.37,7.8,s22_e148_RES1024,291,-21.0131,148.3828,145,11.5,15.2,687,0.34,34.3,229,65
s22_e148_RES7915 & s22_e148_RES11269,A,729,6.72,11,9.8,15,18,4.6,s22_e148_RES7915,850,-21.0933,148.5069,68,9.9,32.2,858,0.96,10.4,s22_e148_RES11269,121,-21.1367,148.5831,126,9.8,15.3,2137,1.18,8.3,194,77
s20_e146_RES17660 & s20_e146_RES17857,A,450,4.22,11,15.9,15,18,10.6,s20_e146_RES17660,520,-19.48,146.5672,161,15.9,26.1,1743,0.98,16.2,s20_e146_RES17857,70,-19.4856,146.6478,265,15.9,16.0,1400,0.52,30.6,426,35
s20_e146_RES14616 & s20_e146_RES7322,A,500,5.54,9,14.0,15,18,9.9,s20_e146_RES14616,560,-19.4156,146.4997,233,14.0,9.8,1865,0.39,35.4,s20_e146_RES7322,60,-19.3244,146.5144,211,14.9,19.9,3158,1.09,13.7,444,33
s20_e146_RES20835 & s20_e146_RES17993,A,530,4.68,11,13.1,15,18,6.0,s20_e146_RES20835,600,-19.5456,146.6086,92,13.1,34.4,661,1.13,11.7,s20_e146_RES17993,70,-19.4889,146.6481,209,13.7,16.5,3909,1.12,12.2,301,49
s20_e146_RES15851 & s20_e146_RES11483,A,460,3.81,12,15.0,15,18,6.8,s20_e146_RES15851,540,-19.4383,146.5336,267,16.2,10.9,2317,0.6,27.0,s20_e146_RES11483,80,-19.3819,146.5875,132,15.0,22.8,1907,1.66,9.0,399,37
s20_e146_RES15623 & s20_e146_RES8269,A,470,5.08,9,14.8,15,18,7.8,s20_e146_RES15623,540,-19.4342,146.5347,339,14.8,12.2,2152,0.52,28.3,s20_e146_RES8269,70,-19.3414,146.5292,282,15.7,12.4,6946,1.46,10.8,621,24
s42_e147_RES41535 & s42_e147_RES36087,A,641,6.59,10,10.8,15,18,8.7,s42_e147_RES41535,1011,-41.4,147.3897,117,11.5,20.0,3527,1.26,9.1,s42_e147_RES36087,370,-41.3639,147.3142,221,10.8,7.0,687,0.06,170.0,338,44
